Placa,Tipo,Servicio,Ubicacion_Inscripcion
FKN389,Carro,Publico,BARRANQUILLA
MHV315,Carro,Oficial,BARRANQUILLA
AAG69D,Moto,Motocicleta,COLOMBIA
III06Q,Moto,Motocicleta,COLOMBIA
JJB702,Carro,Publico,BARRANQUILLA
TST145,Carro,Oficial,MEDELLIN
XWF21J,Moto,Motocicleta,COLOMBIA
CPC05K,Moto,Motocicleta,COLOMBIA
RCR180,Carro,Particular,BUCARAMANGA
KZX59D,Moto,Motocicleta,COLOMBIA
GWV004,Carro,Oficial,BARRANQUILLA
YEM221,Carro,Oficial,PEREIRA
WTG025,Carro,Oficial,BOGOTA D.C.
IEK32V,Moto,Motocicleta,COLOMBIA
KCE56L,Moto,Motocicleta,COLOMBIA
MBN49J,Moto,Motocicleta,COLOMBIA
QIA99Q,Moto,Motocicleta,COLOMBIA
AMA414,Carro,Particular,PEREIRA
FWZ81B,Moto,Motocicleta,COLOMBIA
XAD09F,Moto,Motocicleta,COLOMBIA
BYB755,Carro,Particular,IBAGUE
GJP56J,Moto,Motocicleta,COLOMBIA
CEG607,Carro,Publico,BUCARAMANGA
QZF07A,Moto,Motocicleta,COLOMBIA
EXP76H,Moto,Motocicleta,COLOMBIA
KJH976,Carro,Publico,CUCUTA
GBG478,Carro,Publico,CUCUTA
EXQ152,Carro,Publico,BARRANQUILLA
MEF388,Carro,Publico,TUNJA
UPD81T,Moto,Motocicleta,COLOMBIA
GLW22T,Moto,Motocicleta,COLOMBIA
AQE101,Carro,Oficial,BUCARAMANGA
IKS52J,Moto,Motocicleta,COLOMBIA
KWF155,Carro,Particular,ENVIGADO
NAH500,Carro,Oficial,IBAGUE
EMK75Y,Moto,Motocicleta,COLOMBIA
GIC357,Carro,Publico,BARRANQUILLA
VNA886,Carro,Publico,IBAGUE
SGM438,Carro,Publico,ENVIGADO
EJN605,Carro,Particular,CALI
IBG53D,Moto,Motocicleta,COLOMBIA
PZY009,Carro,Publico,BOGOTA D.C.
QMD12N,Moto,Motocicleta,COLOMBIA
VZT655,Carro,Oficial,PASTO
MZQ155,Carro,Particular,PEREIRA
TDD51C,Moto,Motocicleta,COLOMBIA
GEE341,Carro,Particular,BARRANQUILLA
URL439,Carro,Publico,ENVIGADO
QMW64G,Moto,Motocicleta,COLOMBIA
SIY207,Carro,Publico,PEREIRA
UNU480,Carro,Publico,BUCARAMANGA
KGH408,Carro,Publico,PASTO
BWZ69S,Moto,Motocicleta,COLOMBIA
QYK79N,Moto,Motocicleta,COLOMBIA
QCK46W,Moto,Motocicleta,COLOMBIA
BPY82F,Moto,Motocicleta,COLOMBIA
WLI34C,Moto,Motocicleta,COLOMBIA
GRK09Y,Moto,Motocicleta,COLOMBIA
AAC845,Carro,Particular,MANIZALES
SIL111,Carro,Oficial,ENVIGADO
QBC86A,Moto,Motocicleta,COLOMBIA
ZFY463,Carro,Particular,MANIZALES
PAJ149,Carro,Oficial,BARRANQUILLA
LRL23J,Moto,Motocicleta,COLOMBIA
HEX773,Carro,Particular,BARRANQUILLA
NAU99P,Moto,Motocicleta,COLOMBIA
IMN31V,Moto,Motocicleta,COLOMBIA
WXC483,Carro,Publico,IBAGUE
ZMN387,Carro,Publico,MANIZALES
UUK38Z,Moto,Motocicleta,COLOMBIA
SAT74P,Moto,Motocicleta,COLOMBIA
HEB91M,Moto,Motocicleta,COLOMBIA
SWJ02W,Moto,Motocicleta,COLOMBIA
FJT40E,Moto,Motocicleta,COLOMBIA
IVI628,Carro,Publico,BUCARAMANGA
BIG294,Carro,Publico,CALI
JIB242,Carro,Particular,MEDELLIN
QBT38P,Moto,Motocicleta,COLOMBIA
GWV693,Carro,Publico,PASTO
ATG785,Carro,Publico,PEREIRA
UDL047,Carro,Oficial,IBAGUE
EAT78Q,Moto,Motocicleta,COLOMBIA
NIG72I,Moto,Motocicleta,COLOMBIA
LPY004,Carro,Oficial,PASTO
HYG24L,Moto,Motocicleta,COLOMBIA
LJQ941,Carro,Publico,BARRANQUILLA
CMY876,Carro,Particular,BUCARAMANGA
VWF544,Carro,Oficial,PASTO
WRA00U,Moto,Motocicleta,COLOMBIA
BKB637,Carro,Publico,ENVIGADO
SKP69Q,Moto,Motocicleta,COLOMBIA
PAA225,Carro,Particular,BUCARAMANGA
WAR334,Carro,Oficial,ENVIGADO
DED184,Carro,Oficial,CALI
LCX600,Carro,Publico,PASTO
NLU39P,Moto,Motocicleta,COLOMBIA
KFL81T,Moto,Motocicleta,COLOMBIA
PYT012,Carro,Particular,CUCUTA
TRD72Q,Moto,Motocicleta,COLOMBIA
NFA913,Carro,Publico,MEDELLIN
XGJ72N,Moto,Motocicleta,COLOMBIA
GVH38N,Moto,Motocicleta,COLOMBIA
CJF961,Carro,Particular,CUCUTA
SKW675,Carro,Publico,MEDELLIN
KIJ62G,Moto,Motocicleta,COLOMBIA
PFR43Q,Moto,Motocicleta,COLOMBIA
VPN983,Carro,Particular,MEDELLIN
MTN23G,Moto,Motocicleta,COLOMBIA
EGW12S,Moto,Motocicleta,COLOMBIA
HFB58C,Moto,Motocicleta,COLOMBIA
QHN86E,Moto,Motocicleta,COLOMBIA
PVG159,Carro,Publico,IBAGUE
ENT32H,Moto,Motocicleta,COLOMBIA
LBL68F,Moto,Motocicleta,COLOMBIA
IYG360,Carro,Oficial,PEREIRA
ELF73R,Moto,Motocicleta,COLOMBIA
ZFL10S,Moto,Motocicleta,COLOMBIA
BEN82C,Moto,Motocicleta,COLOMBIA
MAB03A,Moto,Motocicleta,COLOMBIA
WVY11B,Moto,Motocicleta,COLOMBIA
GBU611,Carro,Oficial,MANIZALES
JLB12U,Moto,Motocicleta,COLOMBIA
DQF41W,Moto,Motocicleta,COLOMBIA
FLN92E,Moto,Motocicleta,COLOMBIA
XTC77U,Moto,Motocicleta,COLOMBIA
TQT12M,Moto,Motocicleta,COLOMBIA
QQE413,Carro,Publico,BUCARAMANGA
ZSV41I,Moto,Motocicleta,COLOMBIA
EXM78M,Moto,Motocicleta,COLOMBIA
PME82T,Moto,Motocicleta,COLOMBIA
JUF676,Carro,Particular,PEREIRA
BQG88V,Moto,Motocicleta,COLOMBIA
JKT014,Carro,Publico,CALI
XKX13I,Moto,Motocicleta,COLOMBIA
FZE63X,Moto,Motocicleta,COLOMBIA
ZJN135,Carro,Oficial,MANIZALES
CGR599,Carro,Publico,CUCUTA
MQZ548,Carro,Publico,IBAGUE
QNK29R,Moto,Motocicleta,COLOMBIA
UME82I,Moto,Motocicleta,COLOMBIA
HHX737,Carro,Publico,TUNJA
RHT082,Carro,Particular,CALI
WKM110,Carro,Publico,CUCUTA
ZYG268,Carro,Oficial,ENVIGADO
IUM18R,Moto,Motocicleta,COLOMBIA
ILA21K,Moto,Motocicleta,COLOMBIA
ESP143,Carro,Oficial,BUCARAMANGA
JMP10S,Moto,Motocicleta,COLOMBIA
FJW425,Carro,Publico,ENVIGADO
GVA313,Carro,Oficial,BUCARAMANGA
VNI928,Carro,Oficial,MEDELLIN
VTT382,Carro,Oficial,ENVIGADO
TLZ78F,Moto,Motocicleta,COLOMBIA
XNT067,Carro,Publico,BOGOTA D.C.
WPX779,Carro,Oficial,PASTO
JSS267,Carro,Oficial,MANIZALES
ULM595,Carro,Publico,BUCARAMANGA
LCG16S,Moto,Motocicleta,COLOMBIA
HAD75A,Moto,Motocicleta,COLOMBIA
EMH595,Carro,Particular,BARRANQUILLA
JDD13D,Moto,Motocicleta,COLOMBIA
XZX58P,Moto,Motocicleta,COLOMBIA
KKZ743,Carro,Particular,BUCARAMANGA
MMF67B,Moto,Motocicleta,COLOMBIA
FGW467,Carro,Oficial,PEREIRA
CKU82D,Moto,Motocicleta,COLOMBIA
NLV800,Carro,Publico,MANIZALES
ZDV160,Carro,Publico,CALI
FSH19C,Moto,Motocicleta,COLOMBIA
XQF036,Carro,Oficial,CALI
GSK866,Carro,Publico,BARRANQUILLA
FXA965,Carro,Oficial,BUCARAMANGA
PWD381,Carro,Publico,BOGOTA D.C.
HYY19T,Moto,Motocicleta,COLOMBIA
CUH301,Carro,Publico,CALI
RRS52X,Moto,Motocicleta,COLOMBIA
MZC35A,Moto,Motocicleta,COLOMBIA
IXR62K,Moto,Motocicleta,COLOMBIA
NUX604,Carro,Oficial,PEREIRA
CWG22P,Moto,Motocicleta,COLOMBIA
NPP09R,Moto,Motocicleta,COLOMBIA
ISA48N,Moto,Motocicleta,COLOMBIA
HEE99R,Moto,Motocicleta,COLOMBIA
QVD302,Carro,Oficial,MANIZALES
UIG93I,Moto,Motocicleta,COLOMBIA
CJP329,Carro,Publico,BOGOTA D.C.
BSF543,Carro,Oficial,PEREIRA
AQD44L,Moto,Motocicleta,COLOMBIA
XAP13X,Moto,Motocicleta,COLOMBIA
GEV477,Carro,Publico,CUCUTA
UFD65K,Moto,Motocicleta,COLOMBIA
QDI221,Carro,Publico,BARRANQUILLA
KVQ862,Carro,Publico,MANIZALES
IHC33Y,Moto,Motocicleta,COLOMBIA
NAH072,Carro,Particular,PEREIRA
KGR48E,Moto,Motocicleta,COLOMBIA
AYN66Q,Moto,Motocicleta,COLOMBIA
RCS225,Carro,Publico,ENVIGADO
JIL021,Carro,Oficial,MEDELLIN
UII57F,Moto,Motocicleta,COLOMBIA
CZC92J,Moto,Motocicleta,COLOMBIA
VZP31A,Moto,Motocicleta,COLOMBIA
CNQ841,Carro,Oficial,PASTO
DCT359,Carro,Particular,PEREIRA
ENR095,Carro,Oficial,BARRANQUILLA
FUP75W,Moto,Motocicleta,COLOMBIA
QNW007,Carro,Oficial,MANIZALES
PJG060,Carro,Publico,MANIZALES
CER303,Carro,Oficial,TUNJA
NJT644,Carro,Particular,MANIZALES
MGR668,Carro,Particular,PEREIRA
WTQ90Z,Moto,Motocicleta,COLOMBIA
AKV289,Carro,Oficial,PEREIRA
TQH607,Carro,Particular,PASTO
USW651,Carro,Particular,TUNJA
MTQ55I,Moto,Motocicleta,COLOMBIA
HMH586,Carro,Publico,MEDELLIN
LQE42V,Moto,Motocicleta,COLOMBIA
WYT990,Carro,Oficial,PEREIRA
MRH43M,Moto,Motocicleta,COLOMBIA
LBX942,Carro,Oficial,PASTO
UTW25D,Moto,Motocicleta,COLOMBIA
HPC987,Carro,Particular,CALI
XKA60L,Moto,Motocicleta,COLOMBIA
WYV234,Carro,Oficial,MANIZALES
BST46M,Moto,Motocicleta,COLOMBIA
IXH56K,Moto,Motocicleta,COLOMBIA
RCV05K,Moto,Motocicleta,COLOMBIA
DAV65S,Moto,Motocicleta,COLOMBIA
ZVB110,Carro,Particular,TUNJA
JXS630,Carro,Oficial,BUCARAMANGA
FPI04R,Moto,Motocicleta,COLOMBIA
RED76S,Moto,Motocicleta,COLOMBIA
QRT867,Carro,Particular,CALI
MXK36X,Moto,Motocicleta,COLOMBIA
QQH936,Carro,Particular,TUNJA
RPL00F,Moto,Motocicleta,COLOMBIA
ZUJ45Q,Moto,Motocicleta,COLOMBIA
FAR670,Carro,Publico,TUNJA
WJA716,Carro,Publico,CUCUTA
CTX239,Carro,Oficial,PASTO
DZF151,Carro,Particular,CALI
EMU38C,Moto,Motocicleta,COLOMBIA
LEH414,Carro,Oficial,CUCUTA
WCH00H,Moto,Motocicleta,COLOMBIA
NCJ942,Carro,Publico,PEREIRA
ZJV09F,Moto,Motocicleta,COLOMBIA
WGC24A,Moto,Motocicleta,COLOMBIA
WPP98E,Moto,Motocicleta,COLOMBIA
YIW01E,Moto,Motocicleta,COLOMBIA
BLH511,Carro,Particular,BUCARAMANGA
GBA16C,Moto,Motocicleta,COLOMBIA
EXT814,Carro,Particular,BARRANQUILLA
QJP455,Carro,Publico,IBAGUE
JUQ78L,Moto,Motocicleta,COLOMBIA
XPF226,Carro,Particular,BUCARAMANGA
AGL752,Carro,Particular,PASTO
NKE28K,Moto,Motocicleta,COLOMBIA
RMY021,Carro,Publico,IBAGUE
SSH072,Carro,Particular,MANIZALES
ISU92S,Moto,Motocicleta,COLOMBIA
CBK91I,Moto,Motocicleta,COLOMBIA
GQV402,Carro,Oficial,CALI
VSP45R,Moto,Motocicleta,COLOMBIA
GDA846,Carro,Publico,PASTO
JCB738,Carro,Publico,ENVIGADO
JYT59S,Moto,Motocicleta,COLOMBIA
IER161,Carro,Particular,MANIZALES
SQK231,Carro,Particular,TUNJA
SAV704,Carro,Publico,CALI
YUI770,Carro,Publico,MEDELLIN
XNK90D,Moto,Motocicleta,COLOMBIA
SNT55P,Moto,Motocicleta,COLOMBIA
AXY95Q,Moto,Motocicleta,COLOMBIA
TPN47G,Moto,Motocicleta,COLOMBIA
VQF182,Carro,Oficial,PEREIRA
SYI304,Carro,Particular,MEDELLIN
VQP063,Carro,Publico,BUCARAMANGA
INU309,Carro,Publico,MANIZALES
DHH947,Carro,Particular,CUCUTA
ZXP20Z,Moto,Motocicleta,COLOMBIA
LIT46L,Moto,Motocicleta,COLOMBIA
VDP746,Carro,Publico,CUCUTA
CIQ297,Carro,Oficial,MEDELLIN
ELL675,Carro,Oficial,BARRANQUILLA
ZLF46U,Moto,Motocicleta,COLOMBIA
EAL19L,Moto,Motocicleta,COLOMBIA
QHP59E,Moto,Motocicleta,COLOMBIA
WLD852,Carro,Publico,ENVIGADO
ESI955,Carro,Publico,CALI
KJW16V,Moto,Motocicleta,COLOMBIA
TCG52A,Moto,Motocicleta,COLOMBIA
DUN38C,Moto,Motocicleta,COLOMBIA
PER750,Carro,Particular,BUCARAMANGA
IET28K,Moto,Motocicleta,COLOMBIA
EVZ331,Carro,Publico,IBAGUE
QHZ230,Carro,Publico,TUNJA
RSK189,Carro,Oficial,BUCARAMANGA
SJG27F,Moto,Motocicleta,COLOMBIA
FVA17V,Moto,Motocicleta,COLOMBIA
ZAF086,Carro,Particular,CALI
GEQ32I,Moto,Motocicleta,COLOMBIA
HTY02M,Moto,Motocicleta,COLOMBIA
CKZ197,Carro,Publico,MEDELLIN
YIW941,Carro,Particular,BARRANQUILLA
VEH53C,Moto,Motocicleta,COLOMBIA
PBN076,Carro,Publico,CALI
AJU388,Carro,Particular,PEREIRA
BNH333,Carro,Oficial,ENVIGADO
LRI196,Carro,Particular,TUNJA
EHA232,Carro,Particular,MEDELLIN
CQX90Q,Moto,Motocicleta,COLOMBIA
BKM586,Carro,Publico,CALI
TZS74T,Moto,Motocicleta,COLOMBIA
CLL325,Carro,Publico,PEREIRA
PEU177,Carro,Publico,BARRANQUILLA
YLS98H,Moto,Motocicleta,COLOMBIA
FZX29S,Moto,Motocicleta,COLOMBIA
IBE10S,Moto,Motocicleta,COLOMBIA
FRX54W,Moto,Motocicleta,COLOMBIA
FXQ371,Carro,Particular,TUNJA
MFN446,Carro,Publico,PASTO
CPJ04Y,Moto,Motocicleta,COLOMBIA
HUG712,Carro,Particular,BARRANQUILLA
WLQ05Y,Moto,Motocicleta,COLOMBIA
FFJ820,Carro,Particular,BOGOTA D.C.
AHB82C,Moto,Motocicleta,COLOMBIA
FRL654,Carro,Particular,BARRANQUILLA
CPR006,Carro,Particular,CUCUTA
TBV71Q,Moto,Motocicleta,COLOMBIA
HRD07T,Moto,Motocicleta,COLOMBIA
GHR794,Carro,Particular,PEREIRA
GHR54P,Moto,Motocicleta,COLOMBIA
GKN39H,Moto,Motocicleta,COLOMBIA
MWQ18L,Moto,Motocicleta,COLOMBIA
JHK76X,Moto,Motocicleta,COLOMBIA
DLV371,Carro,Publico,ENVIGADO
NGK56S,Moto,Motocicleta,COLOMBIA
WBD621,Carro,Publico,BARRANQUILLA
APK30Y,Moto,Motocicleta,COLOMBIA
EJY77B,Moto,Motocicleta,COLOMBIA
LKU568,Carro,Particular,BUCARAMANGA
NWI54D,Moto,Motocicleta,COLOMBIA
HYI600,Carro,Oficial,MANIZALES
QRX77D,Moto,Motocicleta,COLOMBIA
SGV08C,Moto,Motocicleta,COLOMBIA
ULF825,Carro,Particular,CUCUTA
QFC339,Carro,Oficial,PASTO
YWS340,Carro,Particular,MEDELLIN
WGY52A,Moto,Motocicleta,COLOMBIA
DLG854,Carro,Particular,MEDELLIN
EEV535,Carro,Oficial,PEREIRA
SGK12D,Moto,Motocicleta,COLOMBIA
ZBF01E,Moto,Motocicleta,COLOMBIA
SQT040,Carro,Particular,PASTO
LEK83Q,Moto,Motocicleta,COLOMBIA
XTM41N,Moto,Motocicleta,COLOMBIA
GPK702,Carro,Publico,PASTO
HMQ50Y,Moto,Motocicleta,COLOMBIA
LXL75C,Moto,Motocicleta,COLOMBIA
IRF692,Carro,Particular,TUNJA
ZJN76G,Moto,Motocicleta,COLOMBIA
FEM55S,Moto,Motocicleta,COLOMBIA
LMQ796,Carro,Particular,ENVIGADO
RZN119,Carro,Publico,PASTO
TXF94B,Moto,Motocicleta,COLOMBIA
BLP97Y,Moto,Motocicleta,COLOMBIA
IPA27R,Moto,Motocicleta,COLOMBIA
GHC00S,Moto,Motocicleta,COLOMBIA
DPZ954,Carro,Publico,BUCARAMANGA
CDI28I,Moto,Motocicleta,COLOMBIA
ZUF74W,Moto,Motocicleta,COLOMBIA
IDE33U,Moto,Motocicleta,COLOMBIA
YWS12H,Moto,Motocicleta,COLOMBIA
BLW094,Carro,Particular,BOGOTA D.C.
WWY68H,Moto,Motocicleta,COLOMBIA
NBK50N,Moto,Motocicleta,COLOMBIA
WKI283,Carro,Oficial,PEREIRA
WBG695,Carro,Oficial,BOGOTA D.C.
DIV003,Carro,Publico,ENVIGADO
ULE257,Carro,Oficial,ENVIGADO
IPN019,Carro,Oficial,PEREIRA
ZTE189,Carro,Oficial,MANIZALES
XAE824,Carro,Oficial,BARRANQUILLA
DNA038,Carro,Publico,MANIZALES
HMD264,Carro,Publico,PEREIRA
KWA707,Carro,Oficial,BUCARAMANGA
ESW66W,Moto,Motocicleta,COLOMBIA
JEY718,Carro,Oficial,MEDELLIN
QYR566,Carro,Publico,BUCARAMANGA
SVL19F,Moto,Motocicleta,COLOMBIA
BVT873,Carro,Publico,TUNJA
LFF80X,Moto,Motocicleta,COLOMBIA
UPW96P,Moto,Motocicleta,COLOMBIA
UCC46U,Moto,Motocicleta,COLOMBIA
VQH35F,Moto,Motocicleta,COLOMBIA
VRI87B,Moto,Motocicleta,COLOMBIA
KDJ52I,Moto,Motocicleta,COLOMBIA
JBC832,Carro,Publico,MANIZALES
DBF91N,Moto,Motocicleta,COLOMBIA
FEE87X,Moto,Motocicleta,COLOMBIA
INR04N,Moto,Motocicleta,COLOMBIA
AHB130,Carro,Publico,PEREIRA
EIS496,Carro,Oficial,MEDELLIN
RLL30K,Moto,Motocicleta,COLOMBIA
IYF46X,Moto,Motocicleta,COLOMBIA
ZNX885,Carro,Oficial,BUCARAMANGA
QSQ309,Carro,Oficial,MANIZALES
YYR59S,Moto,Motocicleta,COLOMBIA
ATR69E,Moto,Motocicleta,COLOMBIA
LLF35K,Moto,Motocicleta,COLOMBIA
CSG84N,Moto,Motocicleta,COLOMBIA
VDW07N,Moto,Motocicleta,COLOMBIA
VIK949,Carro,Oficial,PASTO
QEY008,Carro,Particular,MEDELLIN
QGL08Y,Moto,Motocicleta,COLOMBIA
ZJG228,Carro,Oficial,BOGOTA D.C.
XEP50V,Moto,Motocicleta,COLOMBIA
TGU41J,Moto,Motocicleta,COLOMBIA
CAP559,Carro,Publico,CUCUTA
NBE55B,Moto,Motocicleta,COLOMBIA
PIG012,Carro,Publico,BUCARAMANGA
WKF15U,Moto,Motocicleta,COLOMBIA
VMQ40F,Moto,Motocicleta,COLOMBIA
HZE84Y,Moto,Motocicleta,COLOMBIA
KRK98A,Moto,Motocicleta,COLOMBIA
KHF94Q,Moto,Motocicleta,COLOMBIA
IYR73T,Moto,Motocicleta,COLOMBIA
NQB57T,Moto,Motocicleta,COLOMBIA
LNC035,Carro,Publico,BARRANQUILLA
QRL81I,Moto,Motocicleta,COLOMBIA
WMX97L,Moto,Motocicleta,COLOMBIA
HTE211,Carro,Oficial,CALI
EQB27K,Moto,Motocicleta,COLOMBIA
LYZ85I,Moto,Motocicleta,COLOMBIA
RJK00J,Moto,Motocicleta,COLOMBIA
KMS85J,Moto,Motocicleta,COLOMBIA
ZFD921,Carro,Oficial,ENVIGADO
LFV636,Carro,Oficial,BOGOTA D.C.
RIN532,Carro,Particular,PEREIRA
CUY92U,Moto,Motocicleta,COLOMBIA
MVU64N,Moto,Motocicleta,COLOMBIA
ZWH70J,Moto,Motocicleta,COLOMBIA
YAG485,Carro,Particular,BOGOTA D.C.
PKQ868,Carro,Oficial,MEDELLIN
YLK028,Carro,Publico,TUNJA
MBG60X,Moto,Motocicleta,COLOMBIA
KWC190,Carro,Particular,ENVIGADO
XFU297,Carro,Publico,TUNJA
BTN00R,Moto,Motocicleta,COLOMBIA
HML64G,Moto,Motocicleta,COLOMBIA
GZD33U,Moto,Motocicleta,COLOMBIA
EQC49R,Moto,Motocicleta,COLOMBIA
LRI457,Carro,Particular,TUNJA
GUN897,Carro,Publico,ENVIGADO
QPF28T,Moto,Motocicleta,COLOMBIA
UNM97A,Moto,Motocicleta,COLOMBIA
DAX648,Carro,Publico,CALI
YPU973,Carro,Oficial,MANIZALES
RCR548,Carro,Oficial,PASTO
XWK92F,Moto,Motocicleta,COLOMBIA
ZLQ374,Carro,Oficial,IBAGUE
NQB506,Carro,Particular,BUCARAMANGA
USV14E,Moto,Motocicleta,COLOMBIA
YHH899,Carro,Oficial,TUNJA
VTA300,Carro,Particular,CALI
ZEC05E,Moto,Motocicleta,COLOMBIA
ZPM646,Carro,Oficial,BOGOTA D.C.
NYA76M,Moto,Motocicleta,COLOMBIA
SLN57Z,Moto,Motocicleta,COLOMBIA
JDK003,Carro,Oficial,IBAGUE
QLQ11X,Moto,Motocicleta,COLOMBIA
KSI84T,Moto,Motocicleta,COLOMBIA
QNL604,Carro,Publico,BUCARAMANGA
KCG05J,Moto,Motocicleta,COLOMBIA
YUD019,Carro,Publico,TUNJA
RBH147,Carro,Particular,IBAGUE
LVK046,Carro,Publico,BARRANQUILLA
LAB87J,Moto,Motocicleta,COLOMBIA
LQD383,Carro,Particular,MEDELLIN
SRV52V,Moto,Motocicleta,COLOMBIA
ZKZ97N,Moto,Motocicleta,COLOMBIA
WIL25R,Moto,Motocicleta,COLOMBIA
WZW505,Carro,Oficial,MANIZALES
LDR24E,Moto,Motocicleta,COLOMBIA
XGB282,Carro,Oficial,PASTO
URQ831,Carro,Particular,CUCUTA
QPG230,Carro,Publico,BUCARAMANGA
HBB58Q,Moto,Motocicleta,COLOMBIA
ITA704,Carro,Particular,MANIZALES
GXF873,Carro,Publico,IBAGUE
FNU798,Carro,Publico,PEREIRA
ATX56W,Moto,Motocicleta,COLOMBIA
XVN55F,Moto,Motocicleta,COLOMBIA
YFX607,Carro,Oficial,PASTO
FNG420,Carro,Oficial,BARRANQUILLA
PWM97L,Moto,Motocicleta,COLOMBIA
KIJ88G,Moto,Motocicleta,COLOMBIA
PBF007,Carro,Oficial,CUCUTA
WTK89L,Moto,Motocicleta,COLOMBIA
WSV37N,Moto,Motocicleta,COLOMBIA
SKM737,Carro,Oficial,PASTO
VRE112,Carro,Publico,ENVIGADO
NIM84F,Moto,Motocicleta,COLOMBIA
ZIW33H,Moto,Motocicleta,COLOMBIA
FPI053,Carro,Publico,PASTO
LRM34D,Moto,Motocicleta,COLOMBIA
LWN566,Carro,Oficial,BOGOTA D.C.
ZTE20D,Moto,Motocicleta,COLOMBIA
NYS796,Carro,Oficial,BUCARAMANGA
PQN683,Carro,Particular,IBAGUE
TUC110,Carro,Oficial,IBAGUE
MSI106,Carro,Publico,BARRANQUILLA
CTD436,Carro,Oficial,MANIZALES
BHD12K,Moto,Motocicleta,COLOMBIA
XDP245,Carro,Oficial,IBAGUE
PIU051,Carro,Oficial,CALI
VYP78T,Moto,Motocicleta,COLOMBIA
MEC997,Carro,Oficial,BARRANQUILLA
JSI963,Carro,Publico,CALI
DMU208,Carro,Particular,IBAGUE
YHB563,Carro,Publico,BOGOTA D.C.
WGC12Y,Moto,Motocicleta,COLOMBIA
KMG571,Carro,Particular,CALI
BGV723,Carro,Particular,PEREIRA
HYD194,Carro,Publico,BARRANQUILLA
CAX647,Carro,Particular,ENVIGADO
KST703,Carro,Particular,MEDELLIN
LBI948,Carro,Particular,ENVIGADO
WQA80T,Moto,Motocicleta,COLOMBIA
UQI646,Carro,Particular,BUCARAMANGA
WWH14K,Moto,Motocicleta,COLOMBIA
NQR261,Carro,Oficial,PASTO
XCG167,Carro,Oficial,CUCUTA
SWN036,Carro,Particular,MANIZALES
PKD646,Carro,Oficial,PEREIRA
XVQ58S,Moto,Motocicleta,COLOMBIA
WXM27L,Moto,Motocicleta,COLOMBIA
TBE43B,Moto,Motocicleta,COLOMBIA
DRR321,Carro,Publico,CUCUTA
RTG94P,Moto,Motocicleta,COLOMBIA
BIG14X,Moto,Motocicleta,COLOMBIA
YKG619,Carro,Oficial,ENVIGADO
PFA654,Carro,Particular,MEDELLIN
VKR97S,Moto,Motocicleta,COLOMBIA
XTV67J,Moto,Motocicleta,COLOMBIA
YTX868,Carro,Particular,MANIZALES
PFB27W,Moto,Motocicleta,COLOMBIA
IVJ122,Carro,Oficial,ENVIGADO
LHR586,Carro,Particular,BUCARAMANGA
UDE312,Carro,Particular,BUCARAMANGA
NHP48L,Moto,Motocicleta,COLOMBIA
MBH804,Carro,Publico,PASTO
WRS34P,Moto,Motocicleta,COLOMBIA
UNI59R,Moto,Motocicleta,COLOMBIA
JZY345,Carro,Publico,BARRANQUILLA
XCA90P,Moto,Motocicleta,COLOMBIA
QGZ832,Carro,Oficial,BUCARAMANGA
RDS859,Carro,Particular,PEREIRA
PBA11Q,Moto,Motocicleta,COLOMBIA
GUP83R,Moto,Motocicleta,COLOMBIA
JIM149,Carro,Oficial,PEREIRA
LCL962,Carro,Oficial,IBAGUE
BRR53G,Moto,Motocicleta,COLOMBIA
HKY774,Carro,Particular,BUCARAMANGA
VBF911,Carro,Particular,MEDELLIN
TYA781,Carro,Publico,PEREIRA
HTK40R,Moto,Motocicleta,COLOMBIA
CUV461,Carro,Publico,PASTO
SDE29E,Moto,Motocicleta,COLOMBIA
UQF88C,Moto,Motocicleta,COLOMBIA
WDR84Q,Moto,Motocicleta,COLOMBIA
SKJ48Z,Moto,Motocicleta,COLOMBIA
FMW071,Carro,Particular,BOGOTA D.C.
HPD11D,Moto,Motocicleta,COLOMBIA
DWP995,Carro,Particular,CALI
FTP511,Carro,Oficial,PEREIRA
ZIW076,Carro,Oficial,BOGOTA D.C.
BTY214,Carro,Particular,BARRANQUILLA
GSQ89Y,Moto,Motocicleta,COLOMBIA
PZR037,Carro,Publico,MANIZALES
WTW522,Carro,Particular,BUCARAMANGA
YTA582,Carro,Particular,BOGOTA D.C.
GHQ402,Carro,Publico,CALI
PYS95Z,Moto,Motocicleta,COLOMBIA
UPN586,Carro,Oficial,BOGOTA D.C.
TZU03K,Moto,Motocicleta,COLOMBIA
WKS253,Carro,Publico,IBAGUE
WTT460,Carro,Particular,BOGOTA D.C.
THC45L,Moto,Motocicleta,COLOMBIA
JTA572,Carro,Publico,MEDELLIN
KMJ04T,Moto,Motocicleta,COLOMBIA
AAR169,Carro,Publico,MEDELLIN
QGD586,Carro,Publico,BARRANQUILLA
DBW175,Carro,Publico,ENVIGADO
ATX36B,Moto,Motocicleta,COLOMBIA
WDI59D,Moto,Motocicleta,COLOMBIA
UCF31Y,Moto,Motocicleta,COLOMBIA
LHS726,Carro,Publico,MEDELLIN
MWY623,Carro,Particular,CALI
LLP794,Carro,Publico,BOGOTA D.C.
MRV732,Carro,Particular,PASTO
TUM596,Carro,Oficial,PEREIRA
EWI20A,Moto,Motocicleta,COLOMBIA
JNX973,Carro,Publico,BOGOTA D.C.
LEX806,Carro,Oficial,BOGOTA D.C.
